Alert_ID,Transaction_ID,Customer_ID,Alert_Date,Risk_Score,Risk_Tier,Investigation_Status
1,3591183,C837745698,2020-01-11 22:00:00,0.47942108101998704,Medium,Pending
2,3592662,C1719653359,2020-01-11 22:00:00,0.4082180317078922,Medium,Pending
3,3610922,C1666560485,2020-01-12 03:00:00,0.483915326529133,Medium,Pending
4,3611623,C292308787,2020-01-12 09:00:00,0.5710569838078845,Medium,Pending
5,3623212,C744401564,2020-01-12 10:00:00,0.6593939581016333,Medium,Pending
6,3623213,C1350487416,2020-01-12 10:00:00,0.45785042863491315,Medium,Pending
7,3627567,C2025015781,2020-01-12 10:00:00,0.5656719199984774,Medium,Pending
8,3627568,C385774270,2020-01-12 10:00:00,0.4236764888504386,Medium,Pending
9,3633293,C747770450,2020-01-12 10:00:00,0.43667201310802256,Medium,Pending
10,3633677,C962712321,2020-01-12 10:00:00,0.4896973363921048,Medium,Pending
11,3635658,C1043576460,2020-01-12 10:00:00,0.6828172855782095,Medium,Pending
12,3635970,C448636896,2020-01-12 10:00:00,0.42376061013920036,Medium,Pending
13,3635971,C1532333905,2020-01-12 10:00:00,0.5541583585983624,Medium,Pending
14,3638377,C43514077,2020-01-12 11:00:00,0.42646458542199783,Medium,Pending
15,3638883,C1077345470,2020-01-12 11:00:00,0.4571334327392862,Medium,Pending
16,3638884,C584765160,2020-01-12 11:00:00,0.5490719211691563,Medium,Pending
17,3646350,C490962544,2020-01-12 11:00:00,0.4226586473647728,Medium,Pending
18,3646351,C884995701,2020-01-12 11:00:00,0.49192450238655505,Medium,Pending
19,3652213,C782128694,2020-01-12 11:00:00,0.40597676917261044,Medium,Pending
20,3654690,C1299795752,2020-01-12 11:00:00,0.41755860739381334,Medium,Pending
21,3657222,C71678551,2020-01-12 11:00:00,0.5252562450712699,Medium,Pending
22,3661235,C1952476372,2020-01-12 11:00:00,0.5296733348755289,Medium,Pending
23,3661291,C1581324626,2020-01-12 11:00:00,0.4146445344696599,Medium,Pending
24,3665666,C2015273986,2020-01-12 12:00:00,0.49747049676934985,Medium,Pending
25,3666842,C1149989245,2020-01-12 12:00:00,0.4243185750559942,Medium,Pending
26,3667292,C531616664,2020-01-12 12:00:00,0.5935811152929049,Medium,Pending
27,3668459,C975455989,2020-01-12 12:00:00,0.42375855009338176,Medium,Pending
28,3669542,C1704187575,2020-01-12 12:00:00,0.4230017360850567,Medium,Pending
29,3670352,C716539842,2020-01-12 12:00:00,0.49075168951319303,Medium,Pending
30,3670704,C1236104616,2020-01-12 12:00:00,0.5270050985027412,Medium,Pending
31,3670705,C336831885,2020-01-12 12:00:00,0.4102659334329401,Medium,Pending
32,3671361,C541227973,2020-01-12 12:00:00,0.44802019468707466,Medium,Pending
33,3672139,C669674444,2020-01-12 12:00:00,0.4377475618486629,Medium,Pending
34,3672173,C1760415550,2020-01-12 12:00:00,0.5546838420156834,Medium,Pending
35,3673291,C94683374,2020-01-12 12:00:00,0.4162741484571793,Medium,Pending
36,3674939,C593312723,2020-01-12 12:00:00,0.4035986322440655,Medium,Pending
37,3678044,C1900354364,2020-01-12 12:00:00,0.43731640840338315,Medium,Pending
38,3679251,C1445253170,2020-01-12 12:00:00,0.4012746608303232,Medium,Pending
39,3681712,C324239756,2020-01-12 12:00:00,0.5063374559880658,Medium,Pending
40,3682191,C453740720,2020-01-12 12:00:00,0.761630747483267,High,Pending
41,3682192,C575240886,2020-01-12 12:00:00,0.4405198536299726,Medium,Pending
42,3684268,C24299338,2020-01-12 12:00:00,0.7463312916372058,High,Pending
43,3684589,C1945074660,2020-01-12 12:00:00,0.4374402115840671,Medium,Pending
44,3685942,C1855735860,2020-01-12 12:00:00,0.4807473261150028,Medium,Pending
45,3686584,C1715283297,2020-01-12 12:00:00,1.0,High,Pending
46,3688602,C699131720,2020-01-12 12:00:00,0.4342603829814023,Medium,Pending
47,3688967,C2098885079,2020-01-12 12:00:00,0.46598597890641846,Medium,Pending
48,3690137,C1095526464,2020-01-12 13:00:00,0.5023327913547154,Medium,Pending
49,3695070,C266300209,2020-01-12 13:00:00,0.4165239055772559,Medium,Pending
50,3695182,C1440084225,2020-01-12 13:00:00,0.7085680101295175,High,Pending
51,3695183,C1184998697,2020-01-12 13:00:00,0.4482499926997,Medium,Pending
52,3696691,C253845944,2020-01-12 13:00:00,0.45023109687496465,Medium,Pending
53,3697991,C619720581,2020-01-12 13:00:00,0.5670795908918833,Medium,Pending
54,3698902,C873143215,2020-01-12 13:00:00,0.422677602345649,Medium,Pending
55,3698903,C1173769007,2020-01-12 13:00:00,0.4206358320699196,Medium,Pending
56,3700190,C1175472760,2020-01-12 13:00:00,0.5119113248216035,Medium,Pending
57,3700191,C1193826872,2020-01-12 13:00:00,0.42069187257018714,Medium,Pending
58,3700245,C419316563,2020-01-12 13:00:00,0.5036960122504432,Medium,Pending
59,3700246,C1007841851,2020-01-12 13:00:00,0.41220547649048217,Medium,Pending
60,3700833,C75206217,2020-01-12 13:00:00,0.40795669968360293,Medium,Pending
61,3700989,C1822214239,2020-01-12 13:00:00,0.4178600901699715,Medium,Pending
62,3702131,C155947433,2020-01-12 13:00:00,0.45524803853808604,Medium,Pending
63,3703251,C187049358,2020-01-12 13:00:00,0.514772798883457,Medium,Pending
64,3703676,C1218001291,2020-01-12 13:00:00,0.4526456465482521,Medium,Pending
65,3703677,C849070123,2020-01-12 13:00:00,0.4406696425705648,Medium,Pending
66,3705055,C1573529483,2020-01-12 13:00:00,0.5405099158954735,Medium,Pending
67,3705056,C1700304208,2020-01-12 13:00:00,0.41539167945310973,Medium,Pending
68,3707202,C994167434,2020-01-12 13:00:00,0.4035330837759489,Medium,Pending
