Alert_ID,Investigator_ID,Investigation_Start,Investigation_End,Resolution_Time_Minutes,Outcome
1,INV_21,2020-01-01 01:33:00,2020-01-01 02:09:00,36,Fraud
2,INV_9,2020-01-01 02:27:00,2020-01-01 03:55:00,88,False Positive
3,INV_17,2020-01-01 02:22:00,2020-01-01 02:59:00,37,Fraud
4,INV_12,2020-01-01 02:02:00,2020-01-01 04:05:00,123,Fraud
5,INV_12,2020-01-01 02:29:00,2020-01-01 03:30:00,61,False Positive
6,INV_18,2020-01-01 01:48:00,2020-01-01 03:43:00,115,Fraud
7,INV_7,2020-01-01 01:42:00,2020-01-01 03:53:00,131,Fraud
8,INV_8,2020-01-01 02:19:00,2020-01-01 02:45:00,26,False Positive
9,INV_7,2020-01-01 02:23:00,2020-01-01 04:05:00,102,False Positive
10,INV_2,2020-01-01 01:54:00,2020-01-01 02:20:00,26,False Positive
11,INV_21,2020-01-01 01:34:00,2020-01-01 03:00:00,86,Fraud
12,INV_10,2020-01-01 02:46:00,2020-01-01 03:03:00,17,Fraud
13,INV_13,2020-01-01 02:38:00,2020-01-01 05:26:00,168,False Positive
14,INV_2,2020-01-01 02:16:00,2020-01-01 02:59:00,43,False Positive
15,INV_18,2020-01-01 02:17:00,2020-01-01 03:14:00,57,False Positive
16,INV_1,2020-01-01 02:39:00,2020-01-01 04:38:00,119,Fraud
17,INV_24,2020-01-01 03:43:00,2020-01-01 04:23:00,40,Fraud
18,INV_10,2020-01-01 02:21:00,2020-01-01 04:48:00,147,Fraud
19,INV_6,2020-01-01 03:54:00,2020-01-01 04:07:00,13,Fraud
20,INV_13,2020-01-01 02:59:00,2020-01-01 04:59:00,120,False Positive
21,INV_11,2020-01-01 03:01:00,2020-01-01 05:28:00,147,Fraud
22,INV_6,2020-01-01 03:38:00,2020-01-01 05:34:00,116,False Positive
23,INV_22,2020-01-01 02:06:00,2020-01-01 04:35:00,149,Fraud
24,INV_19,2020-01-01 02:10:00,2020-01-01 04:02:00,112,Fraud
25,INV_3,2020-01-01 04:51:00,2020-01-01 06:37:00,106,Fraud
26,INV_8,2020-01-01 03:35:00,2020-01-01 06:08:00,153,False Positive
27,INV_8,2020-01-01 04:00:00,2020-01-01 04:25:00,25,False Positive
28,INV_10,2020-01-01 04:02:00,2020-01-01 04:15:00,13,Fraud
29,INV_11,2020-01-01 04:46:00,2020-01-01 06:56:00,130,Fraud
30,INV_7,2020-01-01 04:23:00,2020-01-01 06:09:00,106,Fraud
31,INV_16,2020-01-01 04:47:00,2020-01-01 05:55:00,68,Fraud
32,INV_25,2020-01-01 05:02:00,2020-01-01 07:36:00,154,Fraud
33,INV_11,2020-01-01 04:26:00,2020-01-01 07:15:00,169,Fraud
34,INV_6,2020-01-01 05:36:00,2020-01-01 06:27:00,51,Fraud
35,INV_9,2020-01-01 04:51:00,2020-01-01 07:28:00,157,False Positive
36,INV_9,2020-01-01 04:53:00,2020-01-01 06:49:00,116,Fraud
37,INV_20,2020-01-01 05:53:00,2020-01-01 07:44:00,111,Fraud
38,INV_19,2020-01-01 04:49:00,2020-01-01 06:06:00,77,False Positive
39,INV_3,2020-01-01 06:16:00,2020-01-01 07:03:00,47,Fraud
40,INV_9,2020-01-01 05:35:00,2020-01-01 07:45:00,130,Fraud
41,INV_17,2020-01-01 06:44:00,2020-01-01 08:56:00,132,Fraud
42,INV_5,2020-01-01 06:15:00,2020-01-01 09:03:00,168,False Positive
43,INV_22,2020-01-01 05:11:00,2020-01-01 06:59:00,108,Fraud
44,INV_13,2020-01-01 06:01:00,2020-01-01 06:15:00,14,False Positive
45,INV_7,2020-01-01 06:19:00,2020-01-01 07:03:00,44,False Positive
46,INV_23,2020-01-01 06:42:00,2020-01-01 08:34:00,112,Fraud
47,INV_15,2020-01-01 06:58:00,2020-01-01 07:35:00,37,False Positive
48,INV_9,2020-01-01 06:24:00,2020-01-01 08:59:00,155,Fraud
49,INV_1,2020-01-01 07:50:00,2020-01-01 08:34:00,44,False Positive
50,INV_23,2020-01-01 06:54:00,2020-01-01 08:13:00,79,Fraud
51,INV_4,2020-01-01 07:19:00,2020-01-01 09:06:00,107,Fraud
52,INV_19,2020-01-01 07:00:00,2020-01-01 08:44:00,104,False Positive
53,INV_14,2020-01-01 07:31:00,2020-01-01 09:18:00,107,False Positive
54,INV_8,2020-01-01 06:29:00,2020-01-01 08:33:00,124,Fraud
55,INV_11,2020-01-01 07:56:00,2020-01-01 10:36:00,160,False Positive
56,INV_21,2020-01-01 06:16:00,2020-01-01 08:34:00,138,Fraud
57,INV_9,2020-01-01 07:58:00,2020-01-01 08:57:00,59,False Positive
58,INV_16,2020-01-01 06:24:00,2020-01-01 07:23:00,59,Fraud
59,INV_19,2020-01-01 06:08:00,2020-01-01 08:07:00,119,False Positive
60,INV_6,2020-01-01 06:23:00,2020-01-01 08:35:00,132,False Positive
61,INV_6,2020-01-01 06:18:00,2020-01-01 06:35:00,17,Fraud
62,INV_14,2020-01-01 07:29:00,2020-01-01 08:11:00,42,Fraud
63,INV_9,2020-01-01 06:21:00,2020-01-01 09:02:00,161,Fraud
64,INV_24,2020-01-01 07:01:00,2020-01-01 07:19:00,18,Fraud
65,INV_2,2020-01-01 06:55:00,2020-01-01 07:29:00,34,Fraud
66,INV_5,2020-01-01 06:15:00,2020-01-01 09:04:00,169,False Positive
67,INV_3,2020-01-01 07:09:00,2020-01-01 08:33:00,84,Fraud
68,INV_21,2020-01-01 07:06:00,2020-01-01 09:53:00,167,False Positive
69,INV_14,2020-01-01 07:45:00,2020-01-01 08:11:00,26,False Positive
70,INV_13,2020-01-01 08:52:00,2020-01-01 09:42:00,50,False Positive
71,INV_23,2020-01-01 07:46:00,2020-01-01 09:05:00,79,Fraud
72,INV_24,2020-01-01 07:12:00,2020-01-01 09:21:00,129,Fraud
73,INV_3,2020-01-01 07:37:00,2020-01-01 08:39:00,62,Fraud
74,INV_8,2020-01-01 08:59:00,2020-01-01 11:18:00,139,Fraud
75,INV_16,2020-01-01 07:21:00,2020-01-01 10:00:00,159,Fraud
76,INV_14,2020-01-01 07:44:00,2020-01-01 08:52:00,68,Fraud
77,INV_22,2020-01-01 07:27:00,2020-01-01 08:50:00,83,Fraud
78,INV_15,2020-01-01 08:23:00,2020-01-01 11:01:00,158,False Positive
79,INV_1,2020-01-01 09:54:00,2020-01-01 12:05:00,131,False Positive
80,INV_19,2020-01-01 09:46:00,2020-01-01 11:10:00,84,Fraud
81,INV_20,2020-01-01 09:48:00,2020-01-01 10:36:00,48,Fraud
82,INV_13,2020-01-01 08:21:00,2020-01-01 10:51:00,150,False Positive
83,INV_18,2020-01-01 09:51:00,2020-01-01 10:32:00,41,False Positive
84,INV_12,2020-01-01 08:07:00,2020-01-01 10:07:00,120,Fraud
85,INV_17,2020-01-01 08:12:00,2020-01-01 11:10:00,178,Fraud
86,INV_16,2020-01-01 09:20:00,2020-01-01 10:26:00,66,Fraud
87,INV_8,2020-01-01 09:55:00,2020-01-01 10:17:00,22,Fraud
88,INV_2,2020-01-01 08:43:00,2020-01-01 11:06:00,143,False Positive
89,INV_19,2020-01-01 08:39:00,2020-01-01 11:29:00,170,False Positive
90,INV_10,2020-01-01 08:06:00,2020-01-01 10:19:00,133,Fraud
91,INV_6,2020-01-01 10:38:00,2020-01-01 11:31:00,53,False Positive
92,INV_10,2020-01-01 09:40:00,2020-01-01 09:59:00,19,Fraud
93,INV_8,2020-01-01 09:41:00,2020-01-01 11:14:00,93,False Positive
94,INV_24,2020-01-01 10:03:00,2020-01-01 11:04:00,61,Fraud
95,INV_24,2020-01-01 09:32:00,2020-01-01 09:51:00,19,False Positive
96,INV_3,2020-01-01 09:40:00,2020-01-01 10:31:00,51,Fraud
97,INV_5,2020-01-01 10:38:00,2020-01-01 12:25:00,107,False Positive
98,INV_22,2020-01-01 09:24:00,2020-01-01 09:44:00,20,False Positive
99,INV_8,2020-01-01 09:57:00,2020-01-01 12:10:00,133,False Positive
100,INV_5,2020-01-01 10:58:00,2020-01-01 11:57:00,59,Fraud
101,INV_13,2020-01-01 10:48:00,2020-01-01 11:25:00,37,False Positive
102,INV_11,2020-01-01 10:50:00,2020-01-01 12:31:00,101,Fraud
103,INV_20,2020-01-01 10:38:00,2020-01-01 12:17:00,99,False Positive
